GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;30;7/15/2014 1:44:39 PM;7/15/2014 2:51:10 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;7/16/2014 8:09:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:10:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:10:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:11:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:11:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:12:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:12:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:13:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:13:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:14:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:14:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:15:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:15:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:16:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:16:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:17:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:17:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:18:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:18:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:19:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:19:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:20:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:20:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:21:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:21:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:22:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:22:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:23:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:23:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:24:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:24:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:25:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:25:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:26:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:26:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:27:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:27:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:28:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:28:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:29:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:29:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:30:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:30:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:31:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:31:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:32:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:32:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:33:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:33:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:34:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:34:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:35:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:35:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:36:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:36:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:37:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:37:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:38:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:38:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:39:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:39:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:40:04 AM;0.000;0.029;0.000;0.000;0.000;
