GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/16/2014 2:13:58 PM;8/16/2014 2:47:54 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/16/2014 2:18:07 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:08 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:09 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:10 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:11 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:12 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:13 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:14 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:15 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:16 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:17 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:18 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:19 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:20 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:21 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:22 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:23 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:24 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:25 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:26 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:27 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:28 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:29 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:30 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:31 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:32 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:33 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:34 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:35 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:36 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:37 PM;NEG;0.000;NEG;0.000;21.10;
