GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/20/2014 11:13:50 AM;8/20/2014 12:55:41 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/20/2014 11:17:50 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:51 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:52 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:53 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:54 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:55 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:56 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:57 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:58 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:59 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:00 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:01 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:02 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:03 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:04 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:05 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:06 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:07 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:08 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:09 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:10 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:11 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:12 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:13 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:14 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:15 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:16 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:17 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:18 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:19 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:20 AM;NEG;0.000;0.000;0.000;20.90;
