GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/12/2014 5:20:16 PM;8/12/2014 7:02:50 PM;X-am 7000;ARYD0215;1;DLD;2.02W
GASTYPE;;ch4;CO2;SO2;CO;NH3;
UNITNAME;;%LIE;Vol%;ppm;ppm;ppm;
VAL;8/12/2014 5:23:13 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:14 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:15 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:16 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:17 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:18 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:19 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:20 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:21 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:22 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:23 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:24 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:25 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:26 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:27 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:28 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:29 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:30 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:31 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:32 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:33 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:34 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:35 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:36 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:37 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:38 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:39 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:40 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:41 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:42 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:43 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:44 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:45 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:46 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:47 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:48 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:49 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:50 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:51 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:52 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:53 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:54 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:55 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:56 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:57 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:58 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:23:59 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:00 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:01 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:02 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:03 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:04 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:05 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:06 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:07 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:08 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:09 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:10 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:11 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:12 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:13 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:14 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:15 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:16 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:17 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:18 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:19 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:20 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:21 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:22 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:23 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:24 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:25 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:26 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:27 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:28 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:29 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:30 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:31 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:32 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:33 PM;0.000;0.059;0.000;0.000;0.000;
