GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/19/2014 12:20:29 PM;8/19/2014 2:01:04 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;8/19/2014 12:23:32 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:33 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:34 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:35 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:36 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:37 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:38 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:39 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:40 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:41 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:42 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:43 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:44 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:45 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:46 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:47 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:48 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:49 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:50 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:51 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:52 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:53 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:54 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:55 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:56 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:57 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:58 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:23:59 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:00 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:01 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:02 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:03 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:04 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:05 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:06 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:07 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:08 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:09 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:10 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:11 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:12 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:13 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:14 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:15 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:16 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:17 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:18 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:19 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:20 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:21 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:22 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:23 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:24 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:25 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:26 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:27 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:28 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:29 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:30 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:31 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:32 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:33 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:34 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:35 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:36 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:37 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:38 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:39 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:40 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:41 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:42 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:43 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:44 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:45 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:46 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:47 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:48 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:49 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:50 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:51 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:52 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:53 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:54 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:55 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:56 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:57 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:24:58 PM;0.000;0.009;NEG;NEG;0.000;
